ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
1,0,Algeria,0,5.23026,35.8142,92615.67,1/1/85,1/5/85,News,26,3000,Heavy rain,1
2,0,Brazil,0,-45.3489,-18.7111,678498.82,1/15/85,2/2/85,News,229,80000,Heavy rain,2
3,0,Phillipines,0,122.974,10.0207,12846.03,1/20/85,1/21/85,News,43,444,Torrential rain,1
4,0,Indonesia,0,124.606,1.01489,16542.12,2/4/85,2/18/85,News,21,300,Torrential rain,1
5,0,Mozambique,0,32.3491,-25.8693,20082.21,2/9/85,2/11/85,News,19,0,Heavy rain,2
6,0,Comoros islands,0,43.36,-11.6516,1035.61,2/16/85,2/28/85,News,2,35000,Tropical cyclone,1
7,0,New Zealand,0,175.734,-37.2305,7871.37,2/17/85,2/18/85,News,4,200,Heavy rain,1
8,0,Indonesia,0,108.14,-7.04008,77091.11,2/19/85,2/23/85,News,10,2000,Heavy rain,1
9,0,USA,0,-85.1742,40.6691,210527.96,2/22/85,3/1/85,News,7,2250,Rain and snowmelt,2
10,0,Bolivia,0,-63.2887,-21.2244,69706.89,2/25/85,2/28/85,News,2,1000,Heavy Rain,1
11,0,USA,0,-89.5537,40.6814,26266.14,3/3/85,3/8/85,News,4,2400,Rain and snowmelt,2
12,0,USA,0,-108.093,35.3824,26527.13,3/13/85,3/14/85,News,0,80,Rain and snowmelt,1
13,0,USA,0,-96.7845,29.6044,141508,3/14/85,3/15/85,News,0,0,Heavy rain,1
14,0,USA,0,-83.5377,42.0122,16883.54,3/30/85,3/31/85,News,0,300,Heavy rain,1
15,0,Brazil,0,-48.0987,-4.13519,1970402.21,4/2/85,4/17/85,News,32,700000,Heavy rain,2
16,0,USA,0,-96.8425,28.5802,17192.76,4/11/85,4/12/85,News,1,200,Heavy rain,1
17,0,China,0,127.897,48.0917,300325.08,4/21/85,4/29/85,News,0,200,Ice jam/break-up,1
18,0,USA,0,-87.8805,46.4938,5123.72,4/24/85,4/25/85,News,0,400,Rain and snowmelt,2
19,0,USA,0,-105.275,34.8628,116344.02,5/11/85,5/12/85,News,2,0,Heavy rain,1
20,0,USA,0,-66.706,18.2291,1423.92,5/19/85,5/20/85,News,2,4500,Heavy rain,1
21,0,China,0,109.57,25.6694,458666.21,5/26/85,6/6/85,News,64,10000,Heavy rain,2
22,0,Argentina,0,-58.9735,-35.4392,78653.41,5/30/85,6/1/85,News,25,100000,Heavy rain,2
23,0,Bangladesh,0,91.8542,24.6497,8910.3,6/3/85,6/22/85,News,7,100000,Heavy rain,2
24,0,USA,0,-99.4494,33.6977,83470.44,6/5/85,6/6/85,News,6,100,Heavy rain,1
25,0,USA,0,-96.1011,36.3581,9865.44,6/10/85,6/11/85,News,0,320,Heavy rain,2
26,0,Philippines,0,120.916,14.7417,7768.19,6/22/85,6/30/85,News,98,130000,Tropical cyclone,1
27,0,India,0,75.0937,14.5398,254234.6,6/23/85,6/27/85,News,95,25000,Heavy rain,1
28,0,China,0,109.974,27.7882,290679.68,6/28/85,7/10/85,News,275,60000,Heavy rain,2
29,0,Bangladesh,0,89.9853,22.6176,6446.85,7/3/85,7/4/85,News,2,77000,Heavy rain,1
30,0,West Germany,0,6.50952,50.7134,1927.64,7/6/85,7/7/85,News,3,0,Heavy rain,1
31,0,USA,0,-80.5923,38.9381,24269.06,7/9/85,7/10/85,News,2,200,Torrential rain,1
32,0,Chad,0,21.5509,11.6727,15243.93,7/13/85,7/16/85,News,0,1600,Heavy rain,1
33,0,India,0,76.9103,32.8353,117441.17,7/18/85,7/30/85,News,340,20000,Heavy rain,1
34,0,Sudan,0,24.9139,13.489,63577.12,7/19/85,7/22/85,News,0,0,Heavy rain,1
35,0,China,0,125.156,42.6953,994498.21,7/20/85,9/2/85,News,200,2000000,Tropical cyclone,2
36,0,Bangladesh,0,90.1999,23.1028,5663.46,7/21/85,8/17/85,News,15,175000,Heavy rain,1
37,0,USA,0,-85.7798,34.4872,2440.1,7/24/85,7/25/85,News,0,100,Heavy rain,1
38,0,China,0,120.376,31.5112,58279.12,8/1/85,8/2/85,News,3,200000,Heavy rain,1
39,0,USA,0,-105.091,41.6853,17922.86,8/2/85,8/3/85,News,12,0,Torrential rain,2
40,0,Nepal,0,87.1258,27.5049,12487.89,8/4/85,8/5/85,News,3,160,Heavy Rain,2
41,0,China,0,100.797,23.5255,146691.46,8/6/85,8/9/85,News,283,14000,Heavy rain,1
42,0,Austria,0,12.2066,47.3155,15151.05,8/7/85,8/8/85,News,12,0,Heavy rain,2
43,0,Ethiopia,0,39.7851,11.0514,92580.07,8/17/85,8/19/85,News,0,8000,Heavy rain,1
44,0,China,0,111.342,25.3728,38002.65,8/30/85,9/3/85,News,147,0,Tropical cyclone,1
45,0,China,0,109.825,21.6782,49643.62,8/30/85,9/8/85,News,0,200000,Heavy rain,1
46,0,USA,0,-82.3489,28.5438,73968.61,8/30/85,9/5/85,News,4,1000000,Tropical cyclone,1
47,0,Japan,0,142.796,43.4577,79043.09,9/1/85,9/2/85,News,11,1200,Tropical cyclone,1
48,0,China,0,110.542,21.0725,11098.52,9/1/85,9/4/85,News,26,70000,Heavy rain,1
49,0,Nepal,0,86.3518,27.3195,13057.51,9/6/85,9/11/85,News,30,1500,Heavy rain,1
50,0,USA,0,-83.8824,43.242,3235.32,9/6/85,9/9/85,News,0,160,Torrential rain,2
51,0,Viet Nam,0,106.251,20.8454,24681.28,9/7/85,9/15/85,News,34,0,Heavy rain,1
52,0,Sweden,0,15.9425,63.1724,51410.52,9/12/85,9/15/85,News,0,0,Heavy rain,1
53,0,India,0,82.8434,26.4816,89994.67,9/13/85,10/15/85,News,557,152000,Heavy Rain,2
54,0,Dominican Republic,0,-71.7971,18.8752,7757.79,9/14/85,9/15/85,News,12,895,Heavy rain,1
55,0,Nigeria,0,6.50345,6.41486,74615.9,9/23/85,9/25/85,News,0,6000,Heavy Rain,1
56,0,Bangladesh,0,89.6457,24.7027,6466.71,9/27/85,9/28/85,News,0,800,Heavy Rain,1
57,0,USA,0,-66.635,18.2233,7219.8,10/6/85,10/8/85,News,99,6200,Tropical cyclone,1
58,0,Mexico,,-105.8,33.1369,225143.84,10/9/85,10/12/85,News,1,460,Heavy Rain,1
59,0,Benin,0,2.17876,7.37547,29267.71,10/10/85,10/28/85,News,78,48000,Heavy Rain,1
60,0,Thailand,0,99.6423,12.9425,13914.12,10/12/85,10/17/85,News,18,7640,Heavy Rain,1
61,0,India,0,86.7154,21.1495,46758.64,10/18/85,10/20/85,News,49,150000,Tropical cyclone,2
62,0,USA,0,-98.6949,31.7526,61286.27,10/19/85,10/21/85,News,3,0,Heavy rain,1
63,0,Phillipines,0,121.138,16.1135,89516.87,10/19/85,10/20/85,News,31,0,Tropical cyclone,1
64,0,USA,0,-90.0003,29.542,9355.65,10/26/85,10/30/85,News,0,400000,Tropical cyclone,2
65,0,USA,0,-78.4543,38.837,57867.01,11/1/85,11/9/85,News,54,18000,Heavy rain,2
66,0,Jamaica,0,-77.2692,17.9531,3961.15,11/19/85,11/22/85,News,7,0,Tropical cyclone,1
67,0,Venezuela,0,-67.0248,10.1633,19687.88,12/2/85,12/5/85,News,24,15000,Heavy rain,1
68,0,Trinidad,0,-60.6243,11.2699,293.167,12/2/85,12/4/85,News,0,0,Heavy rain,1
69,0,USA,0,-82.8186,42.6864,2796.82,12/30/85,12/31/85,News,0,100,Heavy rain,1
70,0,USA,0,-116.954,44.0047,1742.13,1/1/86,1/6/86,News,0,100,Ice jam/break-up,1
71,0,Bolivia,0,-66.0628,-16.5525,62629.39,1/6/86,4/3/86,News,30,11300,Heavy rain,2
72,0,USA,0,-121.38,39.2816,88717.35,2/12/86,2/27/86,News,18,30000,Torrential rain,2
73,0,Peru,,-69.0747,-16.1155,94944.29,2/1/86,5/1/86,News,0,300000,Torrential rain,2
74,0,USA,0,-87.8814,45.0248,4321.14,3/27/86,4/5/86,News,2,496,Ice jam/break-up,1
75,0,Argentina ,0,-59.5908,-29.4731,268467.88,4/11/86,5/7/86,News,2,55000,Heavy rain,1
76,0,Brazil,0,-43.7954,-9.79844,155406.32,4/23/86,4/25/86,News,11,0,Torrential rain,1
77,0,Iran,0,49.8267,33.3427,206210.86,5/2/86,5/6/86,News,26,1000,Heavy rain,1
78,0,Thailand,0,100.638,15.0651,83450.74,5/9/86,5/12/86,News,32,0,Monsoonal rain,2
79,0,USA,0,-89.8357,37.2733,6447.33,5/15/86,5/15/86,News,3,0,Torrential rain,1
80,0,Solomon Islands,0,160.669,-9.33748,28719.44,5/19/86,5/20/86,News,0,10000,Tropical cyclone,1
81,0,USA,0,-97.2966,32.4344,5256.42,5/24/86,5/24/86,News,3,100,Torrential rain,1
82,0,Chile ,0,-71.0406,-33.0922,27913.34,5/27/86,5/29/86,News,8,17000,Torrential rain,1
83,0,USA,0,-79.7424,40.604,1700.14,5/30/86,5/31/86,News,8,10,Torrential rain,1
84,0,USA,0,-97.8369,29.6932,26949.32,5/31/86,6/11/86,News,10,3500,Torrential rain,1
85,0,Jamaica,,-76.2478,20.8066,81780.3,6/4/86,6/15/86,News,94,11860,Heavy rain,1
86,0,Chile ,0,-71.0406,-33.0922,27913.34,6/15/86,6/18/86,News,40,45000,Heavy rain,1
