Date,aapl,cisco,ibm,amzn
1/2/13,71.48462088,17.60335838,172.3765931,257.31
1/3/13,70.5817895,17.69855845,171.428456,258.48
1/4/13,68.61627817,17.72616647,170.3047379,259.15
1/7/13,68.212653,17.56034525,169.5585189,268.4592
1/8/13,68.39623735,17.57739472,169.3214846,266.38
1/9/13,67.32728167,17.56874017,168.838637,266.35
1/10/13,68.16187435,17.68990389,169.3302637,265.34
1/11/13,67.743927,17.7245221,170.7085741,267.94
1/14/13,65.32868609,18.14859514,169.1020084,272.73
1/15/13,63.26759371,18.15724969,168.9966599,271.9
1/16/13,65.89376132,18.20052245,169.0756713,268.93
1/17/13,65.44977364,18.13128604,170.0062503,270.48
1/18/13,65.10083317,18.18754062,170.7261322,272.12
1/22/13,65.72189512,18.06204962,172.1395588,270.19
1/23/13,66.92430751,17.84568583,179.7246556,268.11
1/24/13,58.65585069,18.1918679,179.4612842,273.62
1/25/13,57.27310899,18.30437707,179.9441318,283.99
1/28/13,58.56861557,18.22648611,179.9090156,276.04
1/29/13,59.66751764,17.98415866,179.0047738,260.35
1/30/13,59.48002724,17.81106762,178.67117,272.764
1/31/13,59.30555701,17.80241307,178.2761128,265.5
2/1/13,59.06207989,18.02743142,180.1284918,265
2/4/13,57.59028025,18.01877686,178.9082042,259.98
2/5/13,59.61205173,18.24379521,178.0302995,266.89
2/6/13,59.5477321,18.33899528,177.2226272,262.22
2/7/13,61.30805863,18.25677704,176.0941575,260.23
2/8/13,62.19320339,18.31303162,177.8044943,261.95
2/11/13,62.84134932,18.40823169,176.4644366,257.21
2/12/13,61.26615829,18.14859514,176.3586426,258.7
2/13/13,61.14962296,18.29572252,176.4027235,269.47
2/14/13,61.09462876,18.16590424,176.014812,269.24
2/15/13,60.25269374,18.16590424,177.1873625,265.09
2/19/13,60.23043418,18.57266818,176.6054953,269.75
2/20/13,58.77177848,18.26543159,175.7150623,266.41
2/21/13,58.40645986,17.96684955,174.8510777,265.94
2/22/13,59.02841808,18.08801328,177.2843403,265.42
2/25/13,57.97960011,17.88030403,174.1281519,259.87
2/26/13,58.7874911,17.83530037,175.5651874,259.36
2/27/13,58.21136138,18.07935873,178.3775453,263.25
2/28/13,57.79628611,18.04906779,177.05512,264.27
3/1/13,56.3651275,18.02743142,178.8888831,265.74
3/4/13,55.00074757,17.94954045,180.8989696,273.11
3/5/13,56.4533801,18.36322803,182.0803362,275.59
3/6/13,55.73557485,18.79335925,183.7113275,273.79
3/7/13,56.37979262,18.86865385,184.628209,273.88
3/8/13,56.52880072,18.8928866,185.4745613,274.19
3/11/13,57.33407294,18.93615935,185.2100762,271.24
3/12/13,56.09801282,18.78037742,185.6244361,274.13
3/13/13,56.08753773,18.67219552,186.9556776,275.1
3/14/13,56.63093281,18.68517735,190.2529248,265.74
3/15/13,58.09220728,18.97510484,189.4771019,261.82
3/18/13,59.67132647,18.75441377,187.9695371,257.89
3/19/13,59.51027203,18.62459549,188.1723089,256.41
3/20/13,59.19471007,18.75441377,189.6005283,257.278
3/21/13,59.27982014,18.03608597,187.132001,253.39
3/22/13,60.48183624,17.958195,186.97331,257.75
3/25/13,60.70050366,18.04474052,185.7919433,256.02
3/26/13,60.38048978,18.04041324,187.2201627,260.31
3/27/13,59.19471007,18.02743142,185.9241859,265.3
3/28/13,57.96126871,18.083686,188.0488826,266.49
4/1/13,56.16086333,18.02743142,187.237795,261.61
4/2/13,56.27635115,18.36495894,188.9833965,263.322
4/3/13,56.56415414,18.34505347,187.4846478,259.03
4/4/13,56.00504643,18.35630438,186.294465,259.08
4/5/13,55.41320408,17.98115178,184.6193929,255.48
4/8/13,55.80732918,17.94625386,184.5400474,258.95
4/9/13,55.90815188,18.29523303,184.4518857,261.14
4/10/13,57.04862686,18.73145699,186.9027806,264.77
4/11/13,56.8705504,18.9190333,187.7138682,269.85
4/12/13,56.27739866,18.79252835,186.3561781,272.87
4/15/13,54.97455986,18.36502886,184.4871503,267.72
4/16/13,55.81125734,18.46099814,186.9027806,272.34
4/17/13,52.74205719,17.99860073,184.8486133,267.4
4/18/13,51.33446753,17.95497834,182.6269387,259.42
4/19/13,51.1354409,17.85028459,167.507209,260.32
4/22/13,52.20128088,17.96370282,165.5941004,263.55
4/23/13,53.17808264,18.24288615,168.9266122,268.9
4/24/13,53.09061567,17.78921323,169.0147739,268.78
4/25/13,53.47269443,18.00732521,170.9895958,274.7
4/26/13,54.62822733,18.03349865,171.3069778,254.81
4/29/13,56.319299,18.30395751,175.5740036,249.74
4/30/13,57.97698134,18.25161063,178.5626848,253.81
5/1/13,57.52000572,17.78048875,175.9971797,248.23
5/2/13,58.33575303,18.08584553,178.4304423,252.55
5/3/13,58.91973906,18.17309032,180.2994701,258.05
5/6/13,60.32470995,18.15564136,178.7742729,255.72
5/7/13,60.056024,17.78048875,179.5236472,257.73
5/8/13,60.73454768,18.07712105,181.4103074,258.68
5/9/13,60.20817462,18.17309032,180.0108919,260.16
5/10/13,59.70728563,18.40865126,181.1003103,263.63
5/13/13,59.94059445,18.55696741,179.3288982,264.51
5/14/13,58.50647019,18.55696741,179.9843207,268.33
5/15/13,56.52795868,18.50462053,180.0817484,266.56
5/16/13,57.28298292,20.84016363,181.2951656,264.12
5/17/13,57.10925353,21.14813775,184.6165632,269.9
5/20/13,58.3838842,20.89076561,183.8725701,267.63
5/21/13,57.95285604,20.94747473,184.8025615,268.86
5/22/13,58.17614708,20.36293462,183.3322895,262.96
5/23/13,58.27975201,20.51125076,182.5971535,261.8
5/24/13,58.67650882,20.52869972,182.2074428,261.74
5/28/13,58.18735118,20.84278098,184.0319972,267.29
5/29/13,58.65014624,21.043444,184.1559961,265.53
